#Data Set Export - Rainfall.Continuous@A64971,,,,
"GENERAL TERMS AND CONDITIONS
1. Auckland Council owns the copyright on the data.
2. Auckland Council shall be acknowledged as the source of the data used in any publication, media statement or other documents, or oral statements which include the data and are made available to third parties, including the general public.
3. The data is provided with the understanding that it is for the sole use of the recipient, or its agents, and it is not intended that this data will be sold, lent or given to any third party other than for the purposes it is provided for. Data may not be sold to any third party in an unmodified form without agreement of Auckland Council.
4. The user of the data agrees to indemnify Auckland Council for any losses sustained as a consequence of a breach of any of these conditions.
5. A copy of these terms and conditions shall accompany any of the attached data which is made available to third parties.
DISCLAIMER
The data is supplied on the basis that it is accurate to the best of Auckland Council knowledge and belief. While Auckland Council has exercised all reasonable skill and care in compiling and providing this data, Auckland Council accepts no liability in contract, tort or otherwise howsoever, for any loss, damage, injury or expense (whether direct, indirect or consequential) arising out of the provision of this data or its use by you.
NOTE ON DATA
Data users are cautioned to consider carefully the nature of this data before using it for decisions that concern personal or public safety or the conduct of business that involves monetary or operational consequences.
Data users are cautioned to consider carefully using or interpreting this data for purposes other than that for which it was collected.  Auckland Council should be consulted to verify whether the data is being correctly interpreted.
DATA QUALITY
Data provided may include both measured and synthesised data. Measured data may also include data of different quality. Please request quality codes with your data set if you wish to identify these types of data.
",,,,
Timestamp (UTC+12:00),Value (Millimetres),Grade Code,Interpolation Type,Event Timestamp
1980-12-29 08:00:00,2.6,200,5,
1980-12-30 08:00:00,1.9,200,5,
1980-12-31 08:00:00,6.9,200,5,
1981-01-05 08:00:00,0,200,5,
1981-01-06 08:00:00,0.6,200,5,
1981-01-07 08:00:00,0,200,5,
1981-01-08 08:00:00,0.2,200,5,
1981-01-10 08:00:00,0,200,5,
1981-01-11 08:00:00,1.6,200,5,
1981-01-12 08:00:00,0.3,200,5,
1981-01-13 08:00:00,9.4,200,5,
1981-01-14 08:00:00,7,200,5,
1981-01-15 08:00:00,1.8,200,5,
1981-01-16 08:00:00,0,200,5,
1981-01-17 08:00:00,3.6,200,5,
1981-01-19 08:00:00,0,200,5,
1981-01-20 08:00:00,16,200,5,
1981-01-21 08:00:00,15,200,5,
1981-01-22 08:00:00,0,200,5,
1981-01-23 08:00:00,2.8,200,5,
1981-01-24 08:00:00,4.7,200,5,
1981-01-31 08:00:00,0,200,5,
1981-02-01 08:00:00,0,200,5,
1981-02-02 08:00:00,16.9,200,5,
1981-02-07 08:00:00,0,200,5,
1981-02-08 08:00:00,1.4,200,5,
1981-02-10 08:00:00,0,200,5,
1981-02-11 08:00:00,1.7,200,5,
1981-02-12 08:00:00,0,200,5,
1981-02-13 08:00:00,0.1,200,5,
1981-02-14 08:00:00,7.2,200,5,
1981-02-15 08:00:00,0.1,200,5,
1981-02-17 08:00:00,0,200,5,
1981-02-18 08:00:00,0.4,200,5,
1981-02-19 08:00:00,0,200,5,
1981-02-20 08:00:00,2.3,200,5,
1981-02-27 08:00:00,0,200,5,
1981-02-28 08:00:00,0,200,5,
1981-03-01 08:00:00,10.3,200,5,
1981-03-02 08:00:00,2.5,200,5,
1981-03-07 08:00:00,0,200,5,
1981-03-08 08:00:00,0,200,5,
1981-03-09 08:00:00,2.6,200,5,
1981-03-10 08:00:00,1,200,5,
1981-03-12 08:00:00,0,200,5,
1981-03-13 08:00:00,0.2,200,5,
1981-03-18 08:00:00,0,200,5,
1981-03-19 08:00:00,1.7,200,5,
1981-03-21 08:00:00,0,200,5,
1981-03-22 08:00:00,2.3,200,5,
1981-03-23 08:00:00,1,200,5,
1981-03-24 08:00:00,0,200,5,
1981-03-25 08:00:00,1.8,200,5,
1981-03-26 08:00:00,1.5,200,5,
1981-03-27 08:00:00,7.7,200,5,
1981-03-28 08:00:00,2.3,200,5,
1981-03-29 08:00:00,0.1,200,5,
1981-04-01 08:00:00,0,200,5,
1981-04-08 08:00:00,0,200,5,
1981-04-09 08:00:00,0.3,200,5,
1981-04-11 08:00:00,0,200,5,
1981-04-12 08:00:00,42.3,200,5,
1981-04-13 08:00:00,33.1,200,5,
1981-04-14 08:00:00,4.6,200,5,
1981-04-15 08:00:00,2.5,200,5,
1981-04-16 08:00:00,6.7,200,5,
1981-04-17 08:00:00,0,200,5,
1981-04-18 08:00:00,10.4,200,5,
1981-04-21 08:00:00,0,200,5,
1981-04-22 08:00:00,1.1,200,5,
1981-04-24 08:00:00,0,200,5,
1981-04-25 08:00:00,1.5,200,5,
1981-04-26 08:00:00,0,200,5,
1981-04-27 08:00:00,0.3,200,5,
1981-04-28 08:00:00,0.6,200,5,
1981-04-29 08:00:00,1.5,200,5,
1981-04-30 08:00:00,1.1,200,5,
1981-05-01 08:00:00,0.6,200,5,
1981-05-07 08:00:00,0,200,5,
1981-05-08 08:00:00,18,200,5,
1981-05-09 08:00:00,8.1,200,5,
1981-05-11 08:00:00,0,200,5,
1981-05-12 08:00:00,0.3,200,5,
1981-05-13 08:00:00,4.6,200,5,
1981-05-14 08:00:00,4.6,200,5,
1981-05-15 08:00:00,6.3,200,5,
1981-05-16 08:00:00,1.3,200,5,
1981-05-17 08:00:00,0,200,5,
1981-05-18 08:00:00,0.5,200,5,
1981-05-19 08:00:00,0,200,5,
1981-05-20 08:00:00,13.5,200,5,
1981-05-21 08:00:00,12.5,200,5,
1981-05-22 08:00:00,0.3,200,5,
1981-05-29 08:00:00,0,200,5,
1981-06-01 08:00:00,0,200,5,
1981-06-02 08:00:00,9.6,200,5,
1981-06-03 08:00:00,4.5,200,5,
1981-06-04 08:00:00,9.2,200,5,
1981-06-05 08:00:00,8.6,200,5,
1981-06-06 08:00:00,0.6,200,5,
1981-06-07 08:00:00,7.5,200,5,
1981-06-08 08:00:00,17.6,200,5,
1981-06-09 08:00:00,10,200,5,
1981-06-10 08:00:00,3.4,200,5,
1981-06-12 08:00:00,0,200,5,
1981-06-13 08:00:00,15.1,200,5,
1981-06-14 08:00:00,3,200,5,
1981-06-15 08:00:00,1,200,5,
1981-06-16 08:00:00,0.6,200,5,
1981-06-17 08:00:00,31.5,200,5,
1981-06-18 08:00:00,2,200,5,
1981-06-19 08:00:00,2.8,200,5,
1981-06-20 08:00:00,8.4,200,5,
1981-06-25 08:00:00,0,200,5,
1981-06-26 08:00:00,0.4,200,5,
1981-06-27 08:00:00,13.7,200,5,
1981-06-28 08:00:00,13.5,200,5,
1981-06-29 08:00:00,16.8,200,5,
1981-06-30 08:00:00,4.9,200,5,
1981-07-01 08:00:00,10.8,200,5,
1981-07-02 08:00:00,0.2,200,5,
1981-07-03 08:00:00,16,200,5,
1981-07-04 08:00:00,11.1,200,5,
1981-07-05 08:00:00,2.6,200,5,
1981-07-06 08:00:00,12,200,5,
1981-07-07 08:00:00,2.6,200,5,
1981-07-08 08:00:00,11,200,5,
1981-07-09 08:00:00,12.1,200,5,
1981-07-10 08:00:00,3,200,5,
1981-07-16 08:00:00,0,200,5,
1981-07-17 08:00:00,1.2,200,5,
1981-07-18 08:00:00,0,200,5,
1981-07-19 08:00:00,7.3,200,5,
1981-07-23 08:00:00,0,200,5,
1981-07-24 08:00:00,0.8,200,5,
1981-07-25 08:00:00,0,200,5,
1981-07-26 08:00:00,9.8,200,5,
1981-07-27 08:00:00,0.1,200,5,
1981-07-28 08:00:00,12.9,200,5,
1981-07-29 08:00:00,2.3,200,5,
1981-07-30 08:00:00,4.8,200,5,
1981-07-31 08:00:00,9.6,200,5,
1981-08-01 08:00:00,11.1,200,5,
1981-08-02 08:00:00,12.5,200,5,
1981-08-03 08:00:00,4.4,200,5,
1981-08-04 08:00:00,3.7,200,5,
1981-08-06 08:00:00,0,200,5,
1981-08-07 08:00:00,2.8,200,5,
1981-08-08 08:00:00,6.4,200,5,
1981-08-09 08:00:00,0,200,5,
1981-08-10 08:00:00,0.8,200,5,
1981-08-11 08:00:00,4.5,200,5,
1981-08-12 08:00:00,4.8,200,5,
1981-08-14 08:00:00,0,200,5,
1981-08-15 08:00:00,2.9,200,5,
1981-08-16 08:00:00,0,200,5,
1981-08-17 08:00:00,0.2,200,5,
1981-08-18 08:00:00,0,200,5,
1981-08-19 08:00:00,4,200,5,
1981-08-20 08:00:00,7.2,200,5,
1981-08-21 08:00:00,3.1,200,5,
1981-08-22 08:00:00,0.3,200,5,
1981-08-23 08:00:00,33.1,200,5,
1981-08-24 08:00:00,13,200,5,
1981-08-25 08:00:00,10.6,200,5,
1981-08-26 08:00:00,3.2,200,5,
1981-08-27 08:00:00,0.2,200,5,
1981-08-31 08:00:00,0,200,5,
1981-09-01 08:00:00,13.3,200,5,
1981-09-02 08:00:00,10.7,200,5,
1981-09-03 08:00:00,7.7,200,5,
1981-09-04 08:00:00,4.6,200,5,
1981-09-05 08:00:00,0.4,200,5,
1981-09-06 08:00:00,9.4,200,5,
1981-09-07 08:00:00,0.9,200,5,
1981-09-08 08:00:00,1.6,200,5,
1981-09-09 08:00:00,0.6,200,5,
1981-09-10 08:00:00,4.8,200,5,
1981-09-11 08:00:00,3.7,200,5,
1981-09-12 08:00:00,0.3,200,5,
1981-09-13 08:00:00,2.9,200,5,
1981-09-14 08:00:00,0.6,200,5,
1981-09-15 08:00:00,9.1,200,5,
1981-09-16 08:00:00,0.3,200,5,
1981-09-17 08:00:00,0.1,200,5,
1981-09-19 08:00:00,0,200,5,
1981-09-20 08:00:00,0.2,200,5,
1981-09-21 08:00:00,4.4,200,5,
1981-09-22 08:00:00,0.6,200,5,
1981-09-23 08:00:00,1.3,200,5,
1981-09-24 08:00:00,0,200,5,
1981-09-25 08:00:00,13.5,200,5,
1981-09-26 08:00:00,0.4,200,5,
1981-09-27 08:00:00,8.1,200,5,
1981-09-28 08:00:00,6.5,200,5,
1981-09-29 08:00:00,12.7,200,5,
1981-09-30 08:00:00,0.5,200,5,
1981-10-05 08:00:00,0,200,5,
1981-10-06 08:00:00,11.4,200,5,
1981-10-07 08:00:00,0.3,200,5,
1981-10-14 08:00:00,0,200,5,
1981-10-16 08:00:00,0,200,5,
1981-10-17 08:00:00,3.9,200,5,
1981-10-18 08:00:00,13.1,200,5,
1981-10-19 08:00:00,0.6,200,5,
1981-10-23 08:00:00,0,200,5,
1981-10-24 08:00:00,7.5,200,5,
1981-10-25 08:00:00,14.8,200,5,
1981-10-26 08:00:00,0.3,200,5,
1981-10-27 08:00:00,0.4,200,5,
1981-10-31 08:00:00,0,200,5,
1981-11-01 08:00:00,4.2,200,5,
1981-11-02 08:00:00,0.5,200,5,
1981-11-03 08:00:00,0.5,200,5,
1981-11-04 08:00:00,0.1,200,5,
1981-11-06 08:00:00,0,200,5,
1981-11-07 08:00:00,0.1,200,5,
1981-11-08 08:00:00,29.2,200,5,
1981-11-09 08:00:00,0,200,5,
1981-11-10 08:00:00,2.5,200,5,
1981-11-11 08:00:00,39.5,200,5,
1981-11-12 08:00:00,0,200,5,
1981-11-13 08:00:00,6,200,5,
1981-11-14 08:00:00,0.1,200,5,
1981-11-15 08:00:00,3.8,200,5,
1981-11-16 08:00:00,21,200,5,
1981-11-17 08:00:00,0.3,200,5,
1981-11-20 08:00:00,0,200,5,
1981-11-21 08:00:00,0.1,200,5,
1981-11-22 08:00:00,2.4,200,5,
1981-11-23 08:00:00,12,200,5,
1981-11-28 08:00:00,0,200,5,
1981-11-29 08:00:00,6.4,200,5,
1981-11-30 08:00:00,6.6,200,5,
1981-12-01 08:00:00,0.3,200,5,
1981-12-02 08:00:00,3.7,200,5,
1981-12-03 08:00:00,1.2,200,5,
1981-12-05 08:00:00,0,200,5,
1981-12-06 08:00:00,10.7,200,5,
1981-12-07 08:00:00,0.1,200,5,
1981-12-08 08:00:00,7.2,200,5,
1981-12-09 08:00:00,12.8,200,5,
1981-12-10 08:00:00,0.9,200,5,
1981-12-11 08:00:00,6.2,200,5,
1981-12-17 08:00:00,0,200,5,
1981-12-18 08:00:00,0.3,200,5,
1981-12-19 08:00:00,0.6,200,5,
1981-12-23 08:00:00,0,200,5,
1981-12-24 08:00:00,14.3,200,5,
1981-12-29 08:00:00,0,200,5,
1981-12-30 08:00:00,0.3,200,5,
1981-12-31 08:00:00,0,200,5,
1982-01-01 08:00:00,6.7,200,5,
1982-01-02 08:00:00,1.4,200,5,
1982-01-03 08:00:00,0,200,5,
1982-01-04 08:00:00,9.4,200,5,
1982-01-05 08:00:00,0,200,5,
1982-01-06 08:00:00,11.3,200,5,
1982-01-07 08:00:00,1.4,200,5,
1982-01-08 08:00:00,5.9,200,5,
1982-01-15 08:00:00,0,200,5,
1982-01-22 08:00:00,0,200,5,
1982-01-23 08:00:00,0,200,5,
1982-01-24 08:00:00,8,200,5,
1982-01-25 08:00:00,2,200,5,
1982-02-01 08:00:00,0,200,5,
1982-02-05 08:00:00,0,200,5,
1982-02-06 08:00:00,1.3,200,5,
1982-02-10 08:00:00,0,200,5,
1982-02-11 08:00:00,3.1,200,5,
1982-02-12 08:00:00,0.5,200,5,
1982-02-13 08:00:00,0.2,200,5,
1982-02-19 08:00:00,0,200,5,
1982-02-20 08:00:00,13.4,200,5,
1982-02-21 08:00:00,8.6,200,5,
1982-02-22 08:00:00,0,200,5,
1982-02-23 08:00:00,38,200,5,
1982-02-24 08:00:00,5,200,5,
1982-02-25 08:00:00,9.3,200,5,
1982-02-26 08:00:00,0.5,200,5,
1982-02-28 08:00:00,0,200,5,
1982-03-01 08:00:00,1.6,200,5,
1982-03-02 08:00:00,1.2,200,5,
1982-03-03 08:00:00,5.4,200,5,
1982-03-04 08:00:00,1,200,5,
1982-03-06 08:00:00,0,200,5,
1982-03-07 08:00:00,10.2,200,5,
1982-03-08 08:00:00,0.4,200,5,
1982-03-13 08:00:00,0,200,5,
1982-03-14 08:00:00,0.5,200,5,
1982-03-21 08:00:00,0,200,5,
1982-03-22 08:00:00,0,200,5,
1982-03-23 08:00:00,1.6,200,5,
1982-03-24 08:00:00,4,200,5,
1982-03-25 08:00:00,21.3,200,5,
1982-03-31 08:00:00,0,200,5,
1982-04-01 08:00:00,32.8,200,5,
1982-04-03 08:00:00,0,200,5,
1982-04-04 08:00:00,0.3,200,5,
1982-04-05 08:00:00,8.8,200,5,
1982-04-06 08:00:00,0,200,5,
1982-04-07 08:00:00,0.3,200,5,
1982-04-08 08:00:00,0,200,5,
1982-04-09 08:00:00,20.4,200,5,
1982-04-10 08:00:00,60.7,200,5,
1982-04-12 08:00:00,0,200,5,
1982-04-13 08:00:00,1.4,200,5,
1982-04-14 08:00:00,0,200,5,
1982-04-15 08:00:00,8.7,200,5,
1982-04-19 08:00:00,0,200,5,
1982-04-20 08:00:00,0.7,200,5,
1982-04-26 08:00:00,0,200,5,
1982-04-27 08:00:00,0.5,200,5,
1982-04-29 08:00:00,0,200,5,
1982-04-30 08:00:00,54,200,5,
1982-05-01 08:00:00,13,200,5,
1982-05-02 08:00:00,10,200,5,
1982-05-06 08:00:00,0,200,5,
1982-05-07 08:00:00,2.5,200,5,
1982-05-08 08:00:00,0,200,5,
1982-05-09 08:00:00,1.2,200,5,
1982-05-12 08:00:00,0,200,5,
1982-05-13 08:00:00,6.5,200,5,
1982-05-14 08:00:00,3.2,200,5,
1982-05-15 08:00:00,11.2,200,5,
1982-05-16 08:00:00,0.5,200,5,
1982-05-17 08:00:00,5.7,200,5,
1982-05-18 08:00:00,3.3,200,5,
1982-05-19 08:00:00,0,200,5,
1982-05-20 08:00:00,0.3,200,5,
1982-05-21 08:00:00,4.2,200,5,
1982-05-22 08:00:00,0.1,200,5,
1982-05-23 08:00:00,4.1,200,5,
1982-05-24 08:00:00,1.7,200,5,
1982-05-25 08:00:00,3,200,5,
1982-05-26 08:00:00,7,200,5,
1982-05-27 08:00:00,0.2,200,5,
1982-05-28 08:00:00,1.7,200,5,
1982-06-02 08:00:00,0,200,5,
1982-06-03 08:00:00,3.3,200,5,
1982-06-04 08:00:00,1.6,200,5,
1982-06-05 08:00:00,13.8,200,5,
1982-06-06 08:00:00,2.1,200,5,
1982-06-07 08:00:00,0,200,5,
1982-06-08 08:00:00,0.4,200,5,
1982-06-15 08:00:00,0,200,5,
1982-06-20 08:00:00,0,200,5,
1982-06-21 08:00:00,2.1,200,5,
1982-06-22 08:00:00,11,200,5,
1982-06-23 08:00:00,14.7,200,5,
1982-06-24 08:00:00,7.8,200,5,
1982-06-25 08:00:00,10.2,200,5,
1982-06-26 08:00:00,2.2,200,5,
1982-06-27 08:00:00,0,200,5,
1982-06-28 08:00:00,0.8,200,5,
1982-06-29 08:00:00,0.1,200,5,
1982-06-30 08:00:00,0,200,5,
1982-07-01 08:00:00,2.5,200,5,
1982-07-02 08:00:00,0.6,200,5,
1982-07-07 08:00:00,0,200,5,
1982-07-08 08:00:00,1.4,200,5,
1982-07-09 08:00:00,0.3,200,5,
1982-07-12 08:00:00,0,200,5,
1982-07-13 08:00:00,1.8,200,5,
1982-07-14 08:00:00,4,200,5,
1982-07-15 08:00:00,25,200,5,
1982-07-16 08:00:00,2.2,200,5,
1982-07-17 08:00:00,2.2,200,5,
1982-07-18 08:00:00,0.2,200,5,
1982-07-20 08:00:00,0,200,5,
1982-07-21 08:00:00,3.7,200,5,
1982-07-22 08:00:00,2.9,200,5,
1982-07-27 08:00:00,0,200,5,
1982-07-28 08:00:00,1.3,200,5,
1982-07-29 08:00:00,35.5,200,5,
1982-07-30 08:00:00,8.2,200,5,
1982-07-31 08:00:00,1.1,200,5,
1982-08-01 08:00:00,3.3,200,5,
1982-08-02 08:00:00,3.8,200,5,
1982-08-03 08:00:00,3.4,200,5,
1982-08-05 08:00:00,0,200,5,
1982-08-06 08:00:00,4.9,200,5,
1982-08-07 08:00:00,0.9,200,5,
1982-08-08 08:00:00,1.6,200,5,
1982-08-09 08:00:00,0.6,200,5,
1982-08-10 08:00:00,0,200,5,
1982-08-11 08:00:00,0.9,200,5,
1982-08-12 08:00:00,1.2,200,5,
1982-08-13 08:00:00,3.5,200,5,
1982-08-14 08:00:00,0,200,5,
1982-08-15 08:00:00,0.1,200,5,
1982-08-16 08:00:00,1.3,200,5,
1982-08-17 08:00:00,0.3,200,5,
1982-08-18 08:00:00,2.7,200,5,
1982-08-19 08:00:00,1.6,200,5,
1982-08-20 08:00:00,0.5,200,5,
1982-08-21 08:00:00,0.7,200,5,
1982-08-22 08:00:00,0.5,200,5,
1982-08-23 08:00:00,0.4,200,5,
1982-08-24 08:00:00,0,200,5,
1982-08-25 08:00:00,1,200,5,
1982-08-26 08:00:00,6,200,5,
1982-08-28 08:00:00,0,200,5,
1982-08-29 08:00:00,0.5,200,5,
1982-08-30 08:00:00,2,200,5,
1982-09-01 08:00:00,0,200,5,
1982-09-02 08:00:00,9.1,200,5,
1982-09-04 08:00:00,0,200,5,
1982-09-05 08:00:00,8.2,200,5,
1982-09-06 08:00:00,9,200,5,
1982-09-07 08:00:00,0,200,5,
1982-09-08 08:00:00,10.4,200,5,
1982-09-09 08:00:00,4.2,200,5,
1982-09-10 08:00:00,0,200,5,
1982-09-11 08:00:00,1.3,200,5,
1982-09-12 08:00:00,4.7,200,5,
1982-09-13 08:00:00,0,200,5,
1982-09-14 08:00:00,8.3,200,5,
1982-09-21 08:00:00,0,200,5,
1982-09-22 08:00:00,0.2,200,5,
1982-09-23 08:00:00,0.2,200,5,
1982-09-24 08:00:00,0.2,200,5,
1982-09-25 08:00:00,0.4,200,5,
1982-09-26 08:00:00,15.2,200,5,
1982-09-27 08:00:00,1.2,200,5,
1982-09-28 08:00:00,6,200,5,
1982-09-29 08:00:00,1.5,200,5,
1982-10-01 08:00:00,0,200,5,
1982-10-02 08:00:00,4.9,200,5,
1982-10-03 08:00:00,4.3,200,5,
1982-10-04 08:00:00,3.9,200,5,
1982-10-05 08:00:00,1,200,5,
1982-10-06 08:00:00,12.9,200,5,
1982-10-07 08:00:00,0.4,200,5,
1982-10-08 08:00:00,0,200,5,
1982-10-09 08:00:00,0.1,200,5,
1982-10-10 08:00:00,0,200,5,
1982-10-11 08:00:00,8.8,200,5,
1982-10-15 08:00:00,0,200,5,
1982-10-16 08:00:00,2.2,200,5,
1982-10-17 08:00:00,1.1,200,5,
1982-10-18 08:00:00,11.5,200,5,
1982-10-19 08:00:00,20.4,200,5,
1982-10-21 08:00:00,0,200,5,
1982-10-22 08:00:00,1.4,200,5,
1982-10-23 08:00:00,0,200,5,
1982-10-24 08:00:00,5.4,200,5,
1982-10-25 08:00:00,7.1,200,5,
1982-10-26 08:00:00,3.3,200,5,
1982-10-27 08:00:00,2.8,200,5,
1982-10-28 08:00:00,3.4,200,5,
1982-10-29 08:00:00,0,200,5,
1982-10-30 08:00:00,2.4,200,5,
1982-11-03 08:00:00,0,200,5,
1982-11-04 08:00:00,0.2,200,5,
1982-11-11 08:00:00,0,200,5,
1982-11-12 08:00:00,11.3,200,5,
1982-11-13 08:00:00,1.2,200,5,
1982-11-20 08:00:00,0,200,5,
1982-11-21 08:00:00,0.5,200,5,
1982-11-22 08:00:00,0.4,200,5,
1982-11-23 08:00:00,0.2,200,5,
1982-11-24 08:00:00,0,200,5,
1982-11-25 08:00:00,0.1,200,5,
1982-11-29 08:00:00,0,200,5,
1982-11-30 08:00:00,4.9,200,5,
1982-12-03 08:00:00,0,200,5,
1982-12-04 08:00:00,1.6,200,5,
1982-12-05 08:00:00,0.6,200,5,
1982-12-06 08:00:00,0.6,200,5,
1982-12-07 08:00:00,1.7,200,5,
1982-12-11 08:00:00,0,200,5,
1982-12-12 08:00:00,21.1,200,5,
1982-12-13 08:00:00,0.4,200,5,
1982-12-14 08:00:00,0.1,200,5,
1982-12-20 08:00:00,0,200,5,
1982-12-21 08:00:00,0.8,200,5,
1982-12-22 08:00:00,22.2,200,5,
1982-12-26 08:00:00,0,200,5,
1982-12-27 08:00:00,8.4,200,5,
1982-12-31 08:00:00,0,200,5,
1983-01-01 08:00:00,0.3,200,5,
1983-01-04 08:00:00,0,200,5,
1983-01-05 08:00:00,0.1,200,5,
1983-01-06 08:00:00,0.2,200,5,
1983-01-07 08:00:00,0,200,5,
1983-01-08 08:00:00,1.5,200,5,
1983-01-09 08:00:00,0.3,200,5,
1983-01-10 08:00:00,0.2,200,5,
1983-01-12 08:00:00,0,200,5,
1983-01-13 08:00:00,24.3,200,5,
1983-01-14 08:00:00,6,200,5,
1983-01-15 08:00:00,1.7,200,5,
1983-01-16 08:00:00,4.2,200,5,
1983-01-19 08:00:00,0,200,5,
1983-01-20 08:00:00,7.8,200,5,
1983-01-21 08:00:00,3.9,200,5,
1983-01-22 08:00:00,0,200,5,
1983-01-23 08:00:00,0.6,200,5,
1983-01-25 08:00:00,0,200,5,
1983-01-26 08:00:00,3,200,5,
1983-01-27 08:00:00,1.7,200,5,
1983-02-03 08:00:00,0,200,5,
1983-02-08 08:00:00,0,200,5,
1983-02-09 08:00:00,4.7,200,5,
1983-02-13 08:00:00,0,200,5,
1983-02-14 08:00:00,0.2,200,5,
1983-02-15 08:00:00,29.4,200,5,
1983-02-16 08:00:00,1.7,200,5,
1983-02-20 08:00:00,0,200,5,
1983-02-21 08:00:00,0.4,200,5,
1983-02-28 08:00:00,0,200,5,
1983-03-01 08:00:00,0,200,5,
1983-03-02 08:00:00,0.6,200,5,
1983-03-03 08:00:00,0,200,5,
1983-03-04 08:00:00,3.4,200,5,
1983-03-08 08:00:00,0,200,5,
1983-03-09 08:00:00,0.2,200,5,
1983-03-12 08:00:00,0,200,5,
1983-03-13 08:00:00,0.2,200,5,
1983-03-14 08:00:00,21.6,200,5,
1983-03-15 08:00:00,1.2,200,5,
1983-03-16 08:00:00,0.3,200,5,
1983-03-17 08:00:00,14,200,5,
1983-03-19 08:00:00,0,200,5,
1983-03-20 08:00:00,0.5,200,5,
1983-03-23 08:00:00,0,200,5,
1983-03-24 08:00:00,1.5,200,5,
1983-03-25 08:00:00,1.5,200,5,
1983-03-27 08:00:00,0,200,5,
1983-03-28 08:00:00,0.2,200,5,
1983-03-29 08:00:00,0.3,200,5,
1983-03-30 08:00:00,0.4,200,5,
1983-04-03 08:00:00,0,200,5,
1983-04-04 08:00:00,4.8,200,5,
1983-04-05 08:00:00,1.3,200,5,
1983-04-07 08:00:00,0,200,5,
1983-04-08 08:00:00,44.6,200,5,
1983-04-09 08:00:00,14.5,200,5,
1983-04-12 08:00:00,0,200,5,
1983-04-13 08:00:00,1,200,5,
1983-04-15 08:00:00,0,200,5,
1983-04-16 08:00:00,4.1,200,5,
1983-04-17 08:00:00,0,200,5,
1983-04-18 08:00:00,2.9,200,5,
1983-04-19 08:00:00,2.2,200,5,
1983-04-20 08:00:00,3.7,200,5,
1983-04-21 08:00:00,7.2,200,5,
1983-04-22 08:00:00,0,200,5,
1983-04-23 08:00:00,1.6,200,5,
1983-04-25 08:00:00,0,200,5,
1983-04-26 08:00:00,1.9,200,5,
1983-04-27 08:00:00,25.8,200,5,
1983-04-28 08:00:00,1.2,200,5,
1983-04-30 08:00:00,0,200,5,
1983-05-01 08:00:00,0.4,200,5,
1983-05-04 08:00:00,0,200,5,
1983-05-05 08:00:00,0.3,200,5,
1983-05-06 08:00:00,3.1,200,5,
1983-05-07 08:00:00,1.7,200,5,
1983-05-08 08:00:00,8.9,200,5,
1983-05-09 08:00:00,0.8,200,5,
1983-05-10 08:00:00,0.2,200,5,
1983-05-11 08:00:00,4.5,200,5,
1983-05-12 08:00:00,10.4,200,5,
1983-05-13 08:00:00,11,200,5,
1983-05-17 08:00:00,0,200,5,
1983-05-18 08:00:00,3.6,200,5,
1983-05-19 08:00:00,7.8,200,5,
1983-05-20 08:00:00,0,200,5,
1983-05-21 08:00:00,5.7,200,5,
1983-05-27 08:00:00,0,200,5,
1983-05-28 08:00:00,0.3,200,5,
1983-05-29 08:00:00,0.4,200,5,
1983-05-30 08:00:00,2,200,5,
1983-05-31 08:00:00,0.5,200,5,
1983-06-01 08:00:00,4.3,200,5,
1983-06-02 08:00:00,10.2,200,5,
1983-06-03 08:00:00,0.8,200,5,
1983-06-06 08:00:00,0,200,5,
1983-06-07 08:00:00,3.5,200,5,
1983-06-08 08:00:00,1.8,200,5,
1983-06-09 08:00:00,2.2,200,5,
1983-06-10 08:00:00,47.8,200,5,
1983-06-11 08:00:00,0.8,200,5,
1983-06-12 08:00:00,0,200,5,
1983-06-13 08:00:00,0.3,200,5,
1983-06-14 08:00:00,0.1,200,5,
1983-06-15 08:00:00,0,200,5,
1983-06-16 08:00:00,1.7,200,5,
1983-06-17 08:00:00,5.5,200,5,
1983-06-18 08:00:00,4.3,200,5,
1983-06-19 08:00:00,5.1,200,5,
1983-06-20 08:00:00,9,200,5,
1983-06-21 08:00:00,4.9,200,5,
1983-06-23 08:00:00,0,200,5,
1983-06-24 08:00:00,2.5,200,5,
1983-06-25 08:00:00,2.5,200,5,
1983-06-26 08:00:00,0,200,5,
1983-06-27 08:00:00,0.8,200,5,
1983-06-28 08:00:00,30.2,200,5,
1983-06-29 08:00:00,0.5,200,5,
1983-06-30 08:00:00,7.7,200,5,
1983-07-01 08:00:00,24,200,5,
1983-07-02 08:00:00,5.1,200,5,
1983-07-03 08:00:00,1.8,200,5,
1983-07-09 08:00:00,0,200,5,
1983-07-10 08:00:00,29.1,200,5,
1983-07-11 08:00:00,0.3,200,5,
1983-07-12 08:00:00,0.6,200,5,
1983-07-13 08:00:00,0,200,5,
1983-07-14 08:00:00,1.2,200,5,
1983-07-15 08:00:00,2.6,200,5,
1983-07-16 08:00:00,0.1,200,5,
1983-07-23 08:00:00,0,200,5,
1983-07-28 08:00:00,0,200,5,
1983-07-29 08:00:00,1.4,200,5,
1983-08-01 08:00:00,0,200,5,
1983-08-02 08:00:00,2.5,200,5,
1983-08-03 08:00:00,4.5,200,5,
1983-08-04 08:00:00,0.5,200,5,
1983-08-05 08:00:00,0,200,5,
1983-08-06 08:00:00,0.6,200,5,
1983-08-07 08:00:00,1.2,200,5,
